,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
0,Kenya,Kwale,2020,5,1,0,0,0,0,3.0,0.0,0.0,0.0,0.0
1,Kenya,Kwale,2020,4,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
2,Kenya,Kwale,2020,3,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0
3,Kenya,Kwale,2019,11,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
4,Kenya,Kwale,2019,10,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Kenya,Kwale,2019,9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
6,Kenya,Kwale,2018,12,0,0,0,1,0,0.0,0.0,0.0,2.0,0.0
7,Kenya,Kwale,2018,10,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Kenya,Kwale,2018,9,0,1,0,0,1,0.0,0.0,0.0,0.0,2.0
9,Kenya,Kwale,2018,7,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
10,Kenya,Kwale,2018,5,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
11,Kenya,Kwale,2018,4,0,1,0,0,1,0.0,1.0,0.0,0.0,2.0
12,Kenya,Kwale,2017,10,0,1,0,0,2,0.0,0.0,0.0,0.0,2.0
13,Kenya,Kwale,2017,9,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
14,Kenya,Kwale,2017,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
15,Kenya,Kwale,2017,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
16,Kenya,Kwale,2016,12,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
17,Kenya,Kwale,2016,9,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
18,Kenya,Kwale,2016,8,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
19,Kenya,Kwale,2016,7,2,0,0,0,1,2.0,0.0,0.0,0.0,1.0
20,Kenya,Kwale,2016,6,1,0,1,0,0,1.0,0.0,1.0,0.0,0.0
21,Kenya,Kwale,2016,5,0,1,0,0,2,0.0,0.0,0.0,0.0,6.0
22,Kenya,Kwale,2016,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
23,Kenya,Kwale,2015,6,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
24,Kenya,Kwale,2015,4,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
25,Kenya,Kwale,2014,12,3,0,0,0,0,11.0,0.0,0.0,0.0,0.0
26,Kenya,Kwale,2014,10,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
27,Kenya,Kwale,2014,9,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
28,Kenya,Kwale,2014,7,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
29,Kenya,Kwale,2014,6,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
30,Kenya,Kwale,2014,4,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
31,Kenya,Kwale,2014,2,1,0,0,0,1,0.0,0.0,0.0,0.0,2.0
32,Kenya,Kwale,2014,1,1,1,0,2,0,0.0,0.0,0.0,0.0,0.0
33,Kenya,Kwale,2013,12,0,0,0,0,4,0.0,0.0,0.0,0.0,4.0
34,Kenya,Kwale,2013,11,0,0,1,0,0,0.0,0.0,2.0,0.0,0.0
35,Kenya,Kwale,2013,10,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
36,Kenya,Kwale,2013,7,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
