ADMIN0,ADMIN1,,ADMIN0,ADMIN1,month,year,CS,tmin_mm,tmax_mm,tavg_mm,prcp_mm,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal,Retail,pop,CS_in_1_month,CS_in_2_months,CS_in_3_months
Ethiopia,Addis Ababa,4312,Ethiopia,Addis Ababa,1.0,2009.0,,90.8181818181818,237.66666666666663,160.66666666666666,42.25,,,,,,,,,,,,3173000.0,,,
Ethiopia,Addis Ababa,4313,Ethiopia,Addis Ababa,2.0,2009.0,,99.61904761904762,252.11764705882354,178.8076923076923,,,,,,,,,,,,,3173000.0,,,
Ethiopia,Addis Ababa,4314,Ethiopia,Addis Ababa,3.0,2009.0,,112.0,277.6,191.421052631579,,,,,,,,,,,,,3173000.0,,,
Ethiopia,Addis Ababa,4315,Ethiopia,Addis Ababa,4.0,2009.0,,114.0,253.5,187.4,3.333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3173000.0,,,1.0
Ethiopia,Addis Ababa,4316,Ethiopia,Addis Ababa,5.0,2009.0,,117.4,268.75,210.7142857142857,41.0,,,,,,,,,,,,3173000.0,,1.0,
Ethiopia,Addis Ababa,4317,Ethiopia,Addis Ababa,6.0,2009.0,,120.36363636363636,263.1666666666667,186.54545454545453,28.4,,,,,,,,,,,,3173000.0,1.0,,
Ethiopia,Addis Ababa,2,Ethiopia,Addis Ababa,7.0,2009.0,1.0,120.29411764705885,216.64285714285717,155.7,88.42105263157896,,,,,,,,,,,,3173000.0,,,1.0
Ethiopia,Addis Ababa,4318,Ethiopia,Addis Ababa,8.0,2009.0,,121.25,209.6,158.89473684210526,64.64705882352939,,,,,,,,,,,,3173000.0,,1.0,
Ethiopia,Addis Ababa,4319,Ethiopia,Addis Ababa,9.0,2009.0,,111.375,226.33333333333331,168.28571428571428,68.375,,,,,,,,,,,,3173000.0,1.0,,
Ethiopia,Addis Ababa,3,Ethiopia,Addis Ababa,10.0,2009.0,1.0,93.57142857142857,225.33333333333331,162.82608695652175,97.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3173000.0,,,1.0
Ethiopia,Addis Ababa,4320,Ethiopia,Addis Ababa,11.0,2009.0,,75.28571428571429,234.375,161.8695652173913,,,,,,,,,,,,,3173000.0,,1.0,
Ethiopia,Addis Ababa,4321,Ethiopia,Addis Ababa,12.0,2009.0,,104.83333333333331,228.0,160.2173913043478,114.0,,,,,,,,,,,,3173000.0,1.0,,
Ethiopia,Addis Ababa,4,Ethiopia,Addis Ababa,1.0,2010.0,1.0,92.0,226.25,155.8,,,,,,,,,,,,,3258000.0,,,1.0
Ethiopia,Addis Ababa,4322,Ethiopia,Addis Ababa,2.0,2010.0,,106.2,272.0,184.83333333333331,5.0,,,,,,,,,,,,3258000.0,,1.0,
