,ADMIN0,ADMIN1,year,month,Retail
122,Ethiopia,Afar,2011,10,0.5747847448598283
123,Ethiopia,Afar,2011,5,0.19793871356607767
124,Ethiopia,Afar,2011,6,-0.061216434480271364
125,Ethiopia,Afar,2011,7,0.25850336224977827
126,Ethiopia,Afar,2011,9,0.48444338129178227
127,Ethiopia,Afar,2012,1,1.071446918529851
128,Ethiopia,Afar,2012,2,1.0312018235433285
129,Ethiopia,Afar,2012,3,0.7686104278500352
130,Ethiopia,Afar,2013,12,1.412586094417269
131,Ethiopia,Afar,2014,1,0.6474061508599968
132,Ethiopia,Afar,2014,2,0.6236731545939821
133,Ethiopia,Afar,2014,3,0.602320269781222
134,Ethiopia,Afar,2014,4,0.5826644592074125
135,Ethiopia,Afar,2015,10,0.13950604660929308
136,Ethiopia,Afar,2015,11,-0.003890922348396174
137,Ethiopia,Afar,2015,12,-0.012273508138679775
138,Ethiopia,Afar,2015,3,0.2943043852687405
139,Ethiopia,Afar,2015,4,0.2868577259033043
140,Ethiopia,Afar,2015,6,0.29657528800891925
141,Ethiopia,Afar,2015,7,0.11550306432525013
142,Ethiopia,Afar,2015,8,0.10658873255421887
143,Ethiopia,Afar,2015,9,0.09900440466363103
144,Ethiopia,Afar,2016,1,-0.021035587537391816
145,Ethiopia,Afar,2016,3,-0.035288354967394124
146,Ethiopia,Afar,2016,4,-0.04083272400726298
147,Ethiopia,Afar,2016,5,-0.04595870280484914
148,Ethiopia,Afar,2016,6,-0.05077096758557208
149,Ethiopia,Amhara,2010,1,0.0074726776584330135
150,Ethiopia,Amhara,2010,10,-0.13111998357094048
151,Ethiopia,Amhara,2010,11,-0.21934462564825302
152,Ethiopia,Amhara,2010,12,-0.437538044161689
153,Ethiopia,Amhara,2010,2,0.09138981146609189
154,Ethiopia,Amhara,2010,3,-0.10447848320802679
155,Ethiopia,Amhara,2010,4,0.11771113725589741
156,Ethiopia,Amhara,2010,5,0.19593848519729232
157,Ethiopia,Amhara,2010,6,0.5035762999757445
158,Ethiopia,Amhara,2010,7,0.6052666413504106
159,Ethiopia,Amhara,2010,8,0.14902468133188498
160,Ethiopia,Amhara,2010,9,-0.10739605382809789
161,Ethiopia,Amhara,2011,1,-0.1994035330083428
162,Ethiopia,Amhara,2011,10,1.4363468825068115
163,Ethiopia,Amhara,2011,11,1.2198782165112907
165,Ethiopia,Amhara,2011,2,-0.27268793449549544
166,Ethiopia,Amhara,2011,3,-0.10024093344417584
167,Ethiopia,Amhara,2011,4,0.36306886898841895
168,Ethiopia,Amhara,2011,5,1.1639235685939036
169,Ethiopia,Amhara,2011,6,1.0714068550470701
170,Ethiopia,Amhara,2011,7,1.2986257794486487
171,Ethiopia,Amhara,2011,8,1.840398314975452
172,Ethiopia,Amhara,2011,9,1.8154136067490603
173,Ethiopia,Amhara,2012,1,0.879379855226462
174,Ethiopia,Amhara,2012,10,0.9978828097983876
175,Ethiopia,Amhara,2012,11,0.7997554595933434
176,Ethiopia,Amhara,2012,12,0.7758785590229279
177,Ethiopia,Amhara,2012,2,1.419525388041114
178,Ethiopia,Amhara,2012,3,1.2151298630834124
179,Ethiopia,Amhara,2012,4,1.1404229913880217
180,Ethiopia,Amhara,2012,5,1.140752039760248
181,Ethiopia,Amhara,2012,6,1.1441188960836097
182,Ethiopia,Amhara,2012,7,1.0538590151199596
183,Ethiopia,Amhara,2012,8,0.9025332675082833
184,Ethiopia,Amhara,2012,9,1.0023931340891008
185,Ethiopia,Amhara,2013,1,0.6141754226333282
186,Ethiopia,Amhara,2013,10,1.7472151930224769
187,Ethiopia,Amhara,2013,11,1.3484867495364394
188,Ethiopia,Amhara,2013,12,0.9694646070396691
189,Ethiopia,Amhara,2013,2,0.6974767388943417
190,Ethiopia,Amhara,2013,3,0.8467459426687269
191,Ethiopia,Amhara,2013,4,1.0014263817799784
192,Ethiopia,Amhara,2013,5,1.0326816996873813
193,Ethiopia,Amhara,2013,6,1.0676498088881123
194,Ethiopia,Amhara,2013,7,1.2940990693879402
195,Ethiopia,Amhara,2013,8,1.334705248437918
196,Ethiopia,Amhara,2013,9,1.3968321717312893
197,Ethiopia,Amhara,2014,1,0.7607368430074017
198,Ethiopia,Amhara,2014,10,0.6834909087296258
199,Ethiopia,Amhara,2014,11,0.5876303024422345
200,Ethiopia,Amhara,2014,12,0.34274407780795907
201,Ethiopia,Amhara,2014,2,0.6619683239666108
202,Ethiopia,Amhara,2014,3,0.6483570048099003
203,Ethiopia,Amhara,2014,4,0.5156224176671355
204,Ethiopia,Amhara,2014,5,0.7041480124218171
205,Ethiopia,Amhara,2014,6,0.911843254207791
206,Ethiopia,Amhara,2014,7,0.8441266438473807
207,Ethiopia,Amhara,2014,8,1.006352597733688
208,Ethiopia,Amhara,2014,9,1.371561412918272
209,Ethiopia,Amhara,2015,1,0.034050215038758186
210,Ethiopia,Amhara,2015,10,-0.12861302318112877
212,Ethiopia,Amhara,2015,12,0.3005563986375502
213,Ethiopia,Amhara,2015,2,0.3280264474490865
214,Ethiopia,Amhara,2015,3,0.23758256083450766
215,Ethiopia,Amhara,2015,4,0.1522333978685808
216,Ethiopia,Amhara,2015,5,0.37448133423958785
220,Ethiopia,Amhara,2015,9,0.17938083042488073
221,Ethiopia,Amhara,2016,1,0.34066359495749426
225,Ethiopia,Amhara,2016,2,0.23821752562077078
226,Ethiopia,Amhara,2016,3,0.22459766179216342
227,Ethiopia,Amhara,2016,4,0.37918802597887064
271,Ethiopia,Benshangul Gumuz,2015,6,-0.1356164746607205
272,Ethiopia,Benshangul Gumuz,2015,7,-0.14192071974980758
273,Ethiopia,Benshangul Gumuz,2015,8,-0.23390010823169463
274,Ethiopia,Dire Dawa,2010,1,1.227969022093979
275,Ethiopia,Dire Dawa,2010,10,0.9952026638801719
276,Ethiopia,Dire Dawa,2010,11,0.9404214308616894
277,Ethiopia,Dire Dawa,2010,12,0.6015697202318504
278,Ethiopia,Dire Dawa,2010,2,1.1733625620802117
279,Ethiopia,Dire Dawa,2010,3,1.1639004752603825
280,Ethiopia,Dire Dawa,2010,4,0.9786936012525174
281,Ethiopia,Dire Dawa,2010,5,0.9726102093619966
282,Ethiopia,Dire Dawa,2010,6,0.9653205712033295
283,Ethiopia,Dire Dawa,2010,7,0.9568147034146812
284,Ethiopia,Dire Dawa,2010,8,0.9229125583033719
285,Ethiopia,Dire Dawa,2010,9,0.989828590287218
286,Ethiopia,Dire Dawa,2011,1,0.6029824517077104
287,Ethiopia,Dire Dawa,2011,10,2.7979193734997816
288,Ethiopia,Dire Dawa,2011,11,2.708335566626445
290,Ethiopia,Dire Dawa,2011,2,0.6039274935051181
291,Ethiopia,Dire Dawa,2011,3,0.6912648738284064
292,Ethiopia,Dire Dawa,2011,4,1.8787032281842169
293,Ethiopia,Dire Dawa,2011,5,2.193006371096244
294,Ethiopia,Dire Dawa,2011,6,2.2863928642097195
295,Ethiopia,Dire Dawa,2011,7,2.427918665222344
296,Ethiopia,Dire Dawa,2011,8,2.3795029179883955
297,Ethiopia,Dire Dawa,2011,9,2.902913419766479
298,Ethiopia,Dire Dawa,2012,1,1.6552346797559092
299,Ethiopia,Dire Dawa,2012,10,2.0820551610511764
300,Ethiopia,Dire Dawa,2012,11,2.115699118738877
301,Ethiopia,Dire Dawa,2012,12,2.0478769705233972
302,Ethiopia,Dire Dawa,2012,2,1.3854941319994398
303,Ethiopia,Dire Dawa,2012,3,1.3132070219160707
304,Ethiopia,Dire Dawa,2012,4,2.401799239788214
305,Ethiopia,Dire Dawa,2012,5,1.132570863517808
306,Ethiopia,Dire Dawa,2012,6,2.5213654585439493
307,Ethiopia,Dire Dawa,2012,7,2.7404367149472835
308,Ethiopia,Dire Dawa,2012,8,2.449934212276401
309,Ethiopia,Dire Dawa,2012,9,2.3615529449722854
310,Ethiopia,Dire Dawa,2013,1,2.147674638445117
311,Ethiopia,Dire Dawa,2013,10,1.984654463729296
312,Ethiopia,Dire Dawa,2013,11,2.0388611106254833
313,Ethiopia,Dire Dawa,2013,12,1.071363065332425
314,Ethiopia,Dire Dawa,2013,2,1.6393324782636218
315,Ethiopia,Dire Dawa,2013,3,1.588249282986224
316,Ethiopia,Dire Dawa,2013,4,0.6968565085233507
317,Ethiopia,Dire Dawa,2013,5,1.8649240119236903
318,Ethiopia,Dire Dawa,2013,6,1.315450711032346
319,Ethiopia,Dire Dawa,2013,7,1.9679925402065812
320,Ethiopia,Dire Dawa,2013,8,2.0038632930055233
321,Ethiopia,Dire Dawa,2013,9,2.0139802663597366
322,Ethiopia,Dire Dawa,2014,1,1.3053851002014818
323,Ethiopia,Dire Dawa,2014,10,1.5267121467297988
324,Ethiopia,Dire Dawa,2014,11,1.4531364740558161
325,Ethiopia,Dire Dawa,2014,12,1.074983858881256
326,Ethiopia,Dire Dawa,2014,2,1.2153696366066287
327,Ethiopia,Dire Dawa,2014,3,0.8917494296191961
328,Ethiopia,Dire Dawa,2014,4,1.580698383369704
329,Ethiopia,Dire Dawa,2014,5,1.6773222773950125
330,Ethiopia,Dire Dawa,2014,6,1.34532009843564
331,Ethiopia,Dire Dawa,2014,7,1.5233496946880518
332,Ethiopia,Dire Dawa,2014,8,2.105711721228934
333,Ethiopia,Dire Dawa,2014,9,1.0422200232548509
334,Ethiopia,Dire Dawa,2015,1,1.0950585210509913
335,Ethiopia,Dire Dawa,2015,10,1.20699031116245
336,Ethiopia,Dire Dawa,2015,11,1.1563140182671545
337,Ethiopia,Dire Dawa,2015,12,1.1747786814691743
338,Ethiopia,Dire Dawa,2015,2,1.1880878316922456
339,Ethiopia,Dire Dawa,2015,3,1.184745934965989
340,Ethiopia,Dire Dawa,2015,4,1.2588209489969544
341,Ethiopia,Dire Dawa,2015,5,0.9621949078742122
342,Ethiopia,Dire Dawa,2015,6,1.3381908379422482
343,Ethiopia,Dire Dawa,2015,7,1.1551197695934663
344,Ethiopia,Dire Dawa,2015,8,0.8275993002498129
345,Ethiopia,Dire Dawa,2015,9,0.8083497797763952
346,Ethiopia,Dire Dawa,2016,1,1.2526607495460431
350,Ethiopia,Dire Dawa,2016,2,1.2427701775599227
351,Ethiopia,Dire Dawa,2016,3,1.1511499796248512
352,Ethiopia,Dire Dawa,2016,4,1.211204382666579
359,Ethiopia,Dire Dawa,2017,10,0.801658932794606
360,Ethiopia,Dire Dawa,2017,11,0.7889087656529529
361,Ethiopia,Dire Dawa,2017,12,0.7755904050234159
364,Ethiopia,Dire Dawa,2017,4,0.2310904101789535
365,Ethiopia,Dire Dawa,2017,5,0.22559635529460784
366,Ethiopia,Dire Dawa,2017,6,0.3734913884270088
367,Ethiopia,Dire Dawa,2017,7,0.5213735641107813
368,Ethiopia,Dire Dawa,2017,8,0.5155176927879487
369,Ethiopia,Dire Dawa,2017,9,0.8114606981968604
370,Ethiopia,Dire Dawa,2018,1,0.4688402408683833
374,Ethiopia,Dire Dawa,2018,2,0.45669455196237607
375,Ethiopia,Dire Dawa,2018,3,0.4443318224058391
377,Ethiopia,Dire Dawa,2018,5,0.4316405735592358
378,Ethiopia,Dire Dawa,2018,6,0.4954336584860252
379,Ethiopia,Dire Dawa,2018,7,0.24515417016860322
380,Ethiopia,Dire Dawa,2018,8,0.00879027077827756
383,Ethiopia,Dire Dawa,2019,10,-0.26809753598381814
384,Ethiopia,Dire Dawa,2019,11,-0.35631502145054894
385,Ethiopia,Dire Dawa,2019,12,-0.3459786003174114
390,Ethiopia,Dire Dawa,2019,7,-0.13706644046284586
391,Ethiopia,Dire Dawa,2019,8,-0.1629363568219546
392,Ethiopia,Dire Dawa,2019,9,-0.1853939079620641
393,Ethiopia,Dire Dawa,2020,1,-0.3941738002416459
394,Ethiopia,Dire Dawa,2020,2,-0.29586701551163525
395,Ethiopia,Dire Dawa,2020,3,-0.2663401311251541
396,Ethiopia,Gambela,2011,11,0.5331927199841193
397,Ethiopia,Gambela,2011,5,0.6832151230379961
398,Ethiopia,Gambela,2011,6,1.1961683751038912
399,Ethiopia,Gambela,2011,7,1.74482197403408
400,Ethiopia,Gambela,2011,9,1.4895742906649514
401,Ethiopia,Gambela,2012,1,0.5663110521862706
402,Ethiopia,Gambela,2012,2,0.6761669198741755
403,Ethiopia,Gambela,2013,6,0.2690938586974439
404,Ethiopia,Gambela,2014,5,0.2255293747468344
405,Ethiopia,Gambela,2014,6,0.21996372666060202
406,Ethiopia,Gambela,2014,7,0.22015829467477294
407,Ethiopia,Gambela,2014,8,-0.17573132816561138
408,Ethiopia,Gambela,2015,10,-0.38206647516930453
409,Ethiopia,Gambela,2015,12,-0.2673770453869323
410,Ethiopia,Gambela,2015,4,-0.5624745202732012
411,Ethiopia,Gambela,2015,6,-0.1356164746607205
412,Ethiopia,Gambela,2015,7,-0.10759754853979986
413,Ethiopia,Gambela,2015,8,-0.11472901395662488
414,Ethiopia,Gambela,2015,9,-0.07007319605385068
415,Ethiopia,Gambela,2016,1,-0.5797365576438804
416,Ethiopia,Oromia,2010,1,0.1502358174293842
417,Ethiopia,Oromia,2010,10,-0.7176231896424947
418,Ethiopia,Oromia,2010,11,-0.5581440137184152
419,Ethiopia,Oromia,2010,12,-0.3373556403734717
420,Ethiopia,Oromia,2010,2,0.05154086338636682
421,Ethiopia,Oromia,2010,3,0.20684607407347988
422,Ethiopia,Oromia,2010,4,-0.10879026121395646
423,Ethiopia,Oromia,2010,5,0.08255215647501034
424,Ethiopia,Oromia,2010,6,0.0081292468205958
425,Ethiopia,Oromia,2010,7,-0.29396856176746866
426,Ethiopia,Oromia,2010,8,-0.4033911495300569
427,Ethiopia,Oromia,2010,9,-0.5926496567196338
428,Ethiopia,Oromia,2011,1,-0.34489863368839124
429,Ethiopia,Oromia,2011,10,1.874699297906051
430,Ethiopia,Oromia,2011,11,1.9396364780071687
432,Ethiopia,Oromia,2011,2,-0.11846977358372414
433,Ethiopia,Oromia,2011,3,0.08076953176484383
434,Ethiopia,Oromia,2011,4,1.1213555004837528
435,Ethiopia,Oromia,2011,5,1.444126255911313
436,Ethiopia,Oromia,2011,6,1.6044399399325049
437,Ethiopia,Oromia,2011,7,2.158376224813259
438,Ethiopia,Oromia,2011,8,2.13264916756207
439,Ethiopia,Oromia,2011,9,2.199724672701139
440,Ethiopia,Oromia,2012,1,0.9053125665870008
441,Ethiopia,Oromia,2012,10,1.0362755455452335
442,Ethiopia,Oromia,2012,11,0.9317460671363211
443,Ethiopia,Oromia,2012,12,0.8080995024623996
444,Ethiopia,Oromia,2012,2,1.2483373512797542
445,Ethiopia,Oromia,2012,3,1.3405452580576038
446,Ethiopia,Oromia,2012,4,1.411603350879263
447,Ethiopia,Oromia,2012,5,1.51011350624756
448,Ethiopia,Oromia,2012,6,1.4275816474148653
449,Ethiopia,Oromia,2012,7,1.350446632655089
450,Ethiopia,Oromia,2012,8,1.2278502133076863
451,Ethiopia,Oromia,2012,9,1.37036380680833
452,Ethiopia,Oromia,2013,1,0.3167796618529066
453,Ethiopia,Oromia,2013,10,1.0802611348922577
454,Ethiopia,Oromia,2013,11,0.9617230883023186
