,country,admin1,month,year,CS,pop
0,Ethiopia,Addis Ababa,10.0,2018,1.0,3804000.0
1,Ethiopia,Addis Ababa,10.0,2010,2.0,3258000.0
2,Ethiopia,Addis Ababa,7.0,2009,1.0,3173000.0
3,Ethiopia,Addis Ababa,10.0,2009,1.0,3173000.0
4,Ethiopia,Addis Ababa,1.0,2010,1.0,3258000.0
5,Ethiopia,Addis Ababa,7.0,2010,2.0,3258000.0
6,Ethiopia,Addis Ababa,1.0,2011,1.0,3345000.0
7,Ethiopia,Addis Ababa,4.0,2011,1.0,3345000.0
8,Ethiopia,Addis Ababa,4.0,2010,1.0,3258000.0
9,Ethiopia,Addis Ababa,2.0,2018,1.0,3804000.0
10,Ethiopia,Addis Ababa,2.0,2019,1.0,3804000.0
11,Ethiopia,Addis Ababa,6.0,2018,1.0,3804000.0
12,Ethiopia,Addis Ababa,10.0,2016,1.0,3804000.0
13,Ethiopia,Addis Ababa,6.0,2016,1.0,3804000.0
14,Ethiopia,Addis Ababa,4.0,2014,1.0,3617000.0
15,Ethiopia,Addis Ababa,10.0,2015,1.0,3710000.0
16,Ethiopia,Addis Ababa,7.0,2015,1.0,3710000.0
17,Ethiopia,Addis Ababa,2.0,2016,1.0,3804000.0
18,Ethiopia,Addis Ababa,10.0,2017,1.0,3804000.0
19,Ethiopia,Addis Ababa,7.0,2014,1.0,3617000.0
20,Ethiopia,Addis Ababa,7.0,2011,1.0,3345000.0
21,Ethiopia,Addis Ababa,6.0,2019,1.0,3804000.0
22,Ethiopia,Addis Ababa,10.0,2019,1.0,3804000.0
23,Ethiopia,Addis Ababa,6.0,2017,1.0,3804000.0
24,Ethiopia,Addis Ababa,1.0,2013,1.0,3525000.0
25,Ethiopia,Addis Ababa,4.0,2013,1.0,3525000.0
26,Ethiopia,Addis Ababa,7.0,2013,1.0,3525000.0
27,Ethiopia,Addis Ababa,10.0,2012,1.0,3434000.0
28,Ethiopia,Addis Ababa,4.0,2012,1.0,3434000.0
29,Ethiopia,Addis Ababa,7.0,2012,1.0,3434000.0
30,Ethiopia,Addis Ababa,1.0,2012,1.0,3434000.0
31,Ethiopia,Addis Ababa,10.0,2011,1.0,3345000.0
32,Ethiopia,Addis Ababa,1.0,2014,1.0,3617000.0
33,Ethiopia,Addis Ababa,1.0,2015,1.0,3710000.0
34,Ethiopia,Addis Ababa,10.0,2014,1.0,3617000.0
35,Ethiopia,Addis Ababa,4.0,2015,1.0,3710000.0
36,Ethiopia,Addis Ababa,10.0,2013,1.0,3525000.0
37,Ethiopia,Afar,2.0,2016,2.8,1930000.0
38,Ethiopia,Afar,6.0,2019,2.0,1930000.0
39,Ethiopia,Afar,2.0,2019,1.8,1930000.0
40,Ethiopia,Afar,10.0,2015,3.0,1883000.0
41,Ethiopia,Afar,10.0,2010,2.5,1653000.0
42,Ethiopia,Afar,1.0,2010,2.0,1653000.0
43,Ethiopia,Afar,10.0,2009,2.0,1610000.0
44,Ethiopia,Afar,1.0,2013,2.0,1789000.0
45,Ethiopia,Afar,4.0,2013,2.2,1789000.0
46,Ethiopia,Afar,10.0,2018,2.0,1930000.0
47,Ethiopia,Afar,1.0,2011,2.5,1697000.0
48,Ethiopia,Afar,10.0,2012,2.2,1743000.0
49,Ethiopia,Afar,6.0,2017,1.6666666666666667,1930000.0
50,Ethiopia,Afar,4.0,2011,2.5,1697000.0
51,Ethiopia,Afar,1.0,2014,2.0,1835000.0
52,Ethiopia,Afar,4.0,2010,3.0,1653000.0
53,Ethiopia,Afar,7.0,2014,2.2,1835000.0
54,Ethiopia,Afar,10.0,2014,1.8,1835000.0
55,Ethiopia,Afar,2.0,2018,1.5,1930000.0
56,Ethiopia,Afar,1.0,2015,1.8,1883000.0
57,Ethiopia,Afar,4.0,2015,2.0,1883000.0
58,Ethiopia,Afar,6.0,2016,2.5,1930000.0
59,Ethiopia,Afar,6.0,2018,2.0,1930000.0
60,Ethiopia,Afar,10.0,2013,2.0,1789000.0
61,Ethiopia,Afar,7.0,2015,2.5,1883000.0
62,Ethiopia,Afar,10.0,2016,2.0,1930000.0
63,Ethiopia,Afar,10.0,2019,2.0,1930000.0
64,Ethiopia,Afar,7.0,2009,2.0,1610000.0
65,Ethiopia,Afar,7.0,2010,2.5,1653000.0
66,Ethiopia,Afar,7.0,2012,2.6666666666666665,1743000.0
67,Ethiopia,Afar,10.0,2017,1.6666666666666667,1930000.0
68,Ethiopia,Afar,10.0,2011,2.0,1697000.0
69,Ethiopia,Afar,4.0,2014,2.0,1835000.0
70,Ethiopia,Afar,7.0,2011,2.5,1697000.0
71,Ethiopia,Afar,7.0,2013,2.0,1789000.0
72,Ethiopia,Afar,1.0,2012,2.0,1743000.0
73,Ethiopia,Afar,4.0,2012,2.0,1743000.0
74,Ethiopia,Amhara,2.0,2018,2.0,23913000.0
75,Ethiopia,Amhara,2.0,2016,2.5,23913000.0
76,Ethiopia,Amhara,6.0,2019,2.0,23913000.0
77,Ethiopia,Amhara,2.0,2019,1.75,23913000.0
78,Ethiopia,Amhara,10.0,2015,2.5,23322000.0
79,Ethiopia,Amhara,10.0,2010,2.0,20480000.0
80,Ethiopia,Amhara,1.0,2010,2.0,20480000.0
81,Ethiopia,Amhara,10.0,2009,2.0,19946000.0
82,Ethiopia,Amhara,1.0,2013,2.0,22158000.0
83,Ethiopia,Amhara,4.0,2013,2.2,22158000.0
84,Ethiopia,Amhara,10.0,2018,1.5,23913000.0
85,Ethiopia,Amhara,1.0,2011,2.0,21027000.0
86,Ethiopia,Amhara,10.0,2012,2.25,21587000.0
87,Ethiopia,Amhara,6.0,2017,2.0,23913000.0
88,Ethiopia,Amhara,4.0,2011,2.0,21027000.0
89,Ethiopia,Amhara,1.0,2014,2.0,22737000.0
90,Ethiopia,Amhara,4.0,2010,2.5,20480000.0
91,Ethiopia,Amhara,7.0,2014,2.0,22737000.0
92,Ethiopia,Amhara,10.0,2014,1.75,22737000.0
93,Ethiopia,Amhara,1.0,2015,2.0,23322000.0
94,Ethiopia,Amhara,4.0,2015,2.0,23322000.0
95,Ethiopia,Amhara,12.0,2018,1.5,23913000.0
96,Ethiopia,Amhara,6.0,2016,2.2,23913000.0
97,Ethiopia,Amhara,6.0,2018,1.6666666666666667,23913000.0
98,Ethiopia,Amhara,10.0,2013,2.0,22158000.0
99,Ethiopia,Amhara,7.0,2015,2.2,23322000.0
100,Ethiopia,Amhara,10.0,2016,2.0,23913000.0
101,Ethiopia,Amhara,10.0,2019,2.0,23913000.0
102,Ethiopia,Amhara,10.0,2017,2.0,23913000.0
103,Ethiopia,Amhara,7.0,2009,2.0,19946000.0
104,Ethiopia,Amhara,7.0,2010,2.0,20480000.0
105,Ethiopia,Amhara,7.0,2012,2.25,21587000.0
106,Ethiopia,Amhara,10.0,2011,2.0,21027000.0
107,Ethiopia,Amhara,4.0,2014,2.0,22737000.0
108,Ethiopia,Amhara,7.0,2011,2.0,21027000.0
109,Ethiopia,Amhara,7.0,2013,2.0,22158000.0
110,Ethiopia,Amhara,1.0,2012,2.0,21587000.0
111,Ethiopia,Amhara,4.0,2012,2.0,21587000.0
112,Ethiopia,Dire Dawa,6.0,2019,2.5,475000.0
113,Ethiopia,Dire Dawa,2.0,2016,3.3333333333333335,475000.0
114,Ethiopia,Dire Dawa,10.0,2015,3.5,463000.0
115,Ethiopia,Dire Dawa,10.0,2010,2.5,407000.0
116,Ethiopia,Dire Dawa,1.0,2010,2.0,407000.0
117,Ethiopia,Dire Dawa,10.0,2009,2.5,396000.0
118,Ethiopia,Dire Dawa,10.0,2018,2.0,475000.0
119,Ethiopia,Dire Dawa,6.0,2017,2.3333333333333335,475000.0
120,Ethiopia,Dire Dawa,4.0,2011,2.5,417000.0
121,Ethiopia,Dire Dawa,4.0,2010,2.5,407000.0
122,Ethiopia,Dire Dawa,2.0,2019,1.5,475000.0
123,Ethiopia,Dire Dawa,10.0,2014,1.5,451000.0
124,Ethiopia,Dire Dawa,2.0,2018,1.5,475000.0
125,Ethiopia,Dire Dawa,1.0,2015,1.5,463000.0
126,Ethiopia,Dire Dawa,4.0,2015,1.5,463000.0
127,Ethiopia,Dire Dawa,6.0,2018,2.0,475000.0
128,Ethiopia,Dire Dawa,7.0,2015,2.0,463000.0
129,Ethiopia,Dire Dawa,10.0,2016,2.5,475000.0
130,Ethiopia,Dire Dawa,4.0,2013,3.0,440000.0
131,Ethiopia,Dire Dawa,10.0,2019,2.0,475000.0
132,Ethiopia,Dire Dawa,7.0,2009,2.5,396000.0
133,Ethiopia,Dire Dawa,7.0,2010,2.5,407000.0
134,Ethiopia,Dire Dawa,10.0,2012,2.5,428000.0
135,Ethiopia,Dire Dawa,1.0,2013,3.0,440000.0
136,Ethiopia,Dire Dawa,7.0,2012,3.0,428000.0
137,Ethiopia,Dire Dawa,1.0,2011,2.0,417000.0
138,Ethiopia,Dire Dawa,10.0,2017,2.0,475000.0
139,Ethiopia,Dire Dawa,10.0,2013,2.0,440000.0
140,Ethiopia,Dire Dawa,1.0,2014,1.5,451000.0
141,Ethiopia,Dire Dawa,4.0,2014,2.0,451000.0
142,Ethiopia,Dire Dawa,7.0,2011,2.5,417000.0
143,Ethiopia,Dire Dawa,7.0,2013,2.5,440000.0
144,Ethiopia,Dire Dawa,1.0,2012,2.5,428000.0
145,Ethiopia,Dire Dawa,4.0,2012,2.5,428000.0
146,Ethiopia,Dire Dawa,10.0,2011,2.0,417000.0
147,Ethiopia,Dire Dawa,7.0,2014,2.0,451000.0
148,Ethiopia,Dire Dawa,6.0,2016,3.0,475000.0
149,Ethiopia,Gambela,2.0,2018,2.6,426000.0
150,Ethiopia,Gambela,2.0,2016,2.0,426000.0
151,Ethiopia,Gambela,6.0,2019,2.6666666666666665,426000.0
152,Ethiopia,Gambela,7.0,2015,2.4,416000.0
153,Ethiopia,Gambela,2.0,2019,2.6666666666666665,426000.0
154,Ethiopia,Gambela,10.0,2010,2.0,365000.0
155,Ethiopia,Gambela,10.0,2009,2.5,356000.0
156,Ethiopia,Gambela,7.0,2009,2.5,356000.0
157,Ethiopia,Gambela,1.0,2010,2.0,365000.0
158,Ethiopia,Gambela,4.0,2012,2.0,385000.0
159,Ethiopia,Gambela,10.0,2018,2.5,426000.0
160,Ethiopia,Gambela,7.0,2010,2.5,365000.0
161,Ethiopia,Gambela,1.0,2011,2.0,375000.0
162,Ethiopia,Gambela,6.0,2017,2.0,426000.0
163,Ethiopia,Gambela,4.0,2011,2.0,375000.0
164,Ethiopia,Gambela,4.0,2010,2.5,365000.0
165,Ethiopia,Gambela,7.0,2014,2.6666666666666665,405000.0
166,Ethiopia,Gambela,10.0,2014,2.0,405000.0
167,Ethiopia,Gambela,1.0,2015,1.8,416000.0
168,Ethiopia,Gambela,4.0,2015,2.0,416000.0
169,Ethiopia,Gambela,6.0,2016,2.0,426000.0
170,Ethiopia,Gambela,10.0,2013,2.0,395000.0
171,Ethiopia,Gambela,10.0,2016,2.0,426000.0
172,Ethiopia,Gambela,10.0,2015,2.0,416000.0
173,Ethiopia,Gambela,10.0,2017,2.75,426000.0
174,Ethiopia,Gambela,10.0,2019,2.5,426000.0
175,Ethiopia,Gambela,10.0,2012,2.0,385000.0
176,Ethiopia,Gambela,1.0,2013,2.0,395000.0
177,Ethiopia,Gambela,7.0,2012,2.25,385000.0
178,Ethiopia,Gambela,4.0,2013,2.0,395000.0
179,Ethiopia,Gambela,10.0,2011,2.0,375000.0
180,Ethiopia,Gambela,7.0,2011,2.0,375000.0
181,Ethiopia,Gambela,6.0,2018,2.75,426000.0
182,Ethiopia,Gambela,4.0,2014,1.0,405000.0
183,Ethiopia,Gambela,1.0,2012,2.0,385000.0
184,Ethiopia,Gambela,7.0,2013,2.0,395000.0
185,Ethiopia,Gambela,1.0,2014,1.0,405000.0
186,Ethiopia,Harari,6.0,2019,2.5,255000.0
187,Ethiopia,Harari,2.0,2016,3.3333333333333335,255000.0
188,Ethiopia,Harari,1.0,2010,2.0,218000.0
189,Ethiopia,Harari,10.0,2009,2.5,212000.0
190,Ethiopia,Harari,10.0,2018,2.5,255000.0
191,Ethiopia,Harari,1.0,2011,2.5,224000.0
192,Ethiopia,Harari,6.0,2017,2.3333333333333335,255000.0
193,Ethiopia,Harari,10.0,2010,2.0,218000.0
194,Ethiopia,Harari,4.0,2011,2.5,224000.0
195,Ethiopia,Harari,4.0,2010,3.5,218000.0
196,Ethiopia,Harari,2.0,2019,1.6666666666666667,255000.0
197,Ethiopia,Harari,2.0,2018,1.5,255000.0
198,Ethiopia,Harari,4.0,2015,1.5,248000.0
199,Ethiopia,Harari,6.0,2018,2.5,255000.0
200,Ethiopia,Harari,7.0,2015,2.0,248000.0
201,Ethiopia,Harari,10.0,2016,2.0,255000.0
202,Ethiopia,Harari,4.0,2013,3.0,236000.0
203,Ethiopia,Harari,10.0,2019,2.5,255000.0
204,Ethiopia,Harari,7.0,2009,2.5,212000.0
205,Ethiopia,Harari,10.0,2012,2.5,230000.0
206,Ethiopia,Harari,7.0,2010,2.0,218000.0
207,Ethiopia,Harari,1.0,2013,3.0,236000.0
208,Ethiopia,Harari,7.0,2012,3.0,230000.0
209,Ethiopia,Harari,10.0,2017,2.0,255000.0
210,Ethiopia,Harari,10.0,2013,2.0,236000.0
211,Ethiopia,Harari,4.0,2014,2.0,242000.0
212,Ethiopia,Harari,7.0,2011,3.0,224000.0
213,Ethiopia,Harari,10.0,2015,3.0,248000.0
214,Ethiopia,Harari,7.0,2013,2.5,236000.0
215,Ethiopia,Harari,1.0,2012,2.0,230000.0
216,Ethiopia,Harari,10.0,2011,2.0,224000.0
217,Ethiopia,Harari,4.0,2012,2.0,230000.0
218,Ethiopia,Harari,1.0,2014,1.0,242000.0
219,Ethiopia,Harari,1.0,2015,1.0,248000.0
220,Ethiopia,Harari,10.0,2014,1.0,242000.0
221,Ethiopia,Harari,7.0,2014,2.0,242000.0
222,Ethiopia,Harari,6.0,2016,3.0,255000.0
223,Ethiopia,Oromia,2.0,2018,2.5,37489000.0
224,Ethiopia,Oromia,2.0,2016,2.2857142857142856,37489000.0
225,Ethiopia,Oromia,6.0,2019,2.5,37489000.0
226,Ethiopia,Oromia,2.0,2019,1.8,37489000.0
227,Ethiopia,Oromia,10.0,2015,2.5,36562000.0
228,Ethiopia,Oromia,10.0,2010,2.0,32107000.0
229,Ethiopia,Oromia,7.0,2014,1.8,35645000.0
230,Ethiopia,Oromia,10.0,2009,2.5,31270000.0
231,Ethiopia,Oromia,7.0,2009,2.5,31270000.0
232,Ethiopia,Oromia,1.0,2010,2.0,32107000.0
233,Ethiopia,Oromia,10.0,2011,2.5,32965000.0
234,Ethiopia,Oromia,4.0,2011,2.5,32965000.0
235,Ethiopia,Oromia,7.0,2011,2.5,32965000.0
236,Ethiopia,Oromia,1.0,2012,2.5,33843000.0
237,Ethiopia,Oromia,1.0,2013,2.0,34737000.0
238,Ethiopia,Oromia,4.0,2013,2.2,34737000.0
239,Ethiopia,Oromia,10.0,2018,2.0,37489000.0
240,Ethiopia,Oromia,6.0,2016,2.0,37489000.0
241,Ethiopia,Oromia,1.0,2011,2.0,32965000.0
242,Ethiopia,Oromia,10.0,2012,2.0,33843000.0
243,Ethiopia,Oromia,6.0,2017,2.0,37489000.0
244,Ethiopia,Oromia,4.0,2010,2.5,32107000.0
245,Ethiopia,Oromia,10.0,2014,1.8,35645000.0
246,Ethiopia,Oromia,1.0,2015,2.0,36562000.0
247,Ethiopia,Oromia,4.0,2015,2.0,36562000.0
248,Ethiopia,Oromia,12.0,2018,2.0,37489000.0
249,Ethiopia,Oromia,6.0,2018,2.2,37489000.0
250,Ethiopia,Oromia,7.0,2015,2.2,36562000.0
251,Ethiopia,Oromia,10.0,2016,1.8,37489000.0
252,Ethiopia,Oromia,10.0,2017,2.2,37489000.0
253,Ethiopia,Oromia,10.0,2019,2.5,37489000.0
254,Ethiopia,Oromia,7.0,2010,2.0,32107000.0
255,Ethiopia,Oromia,7.0,2012,2.2,33843000.0
256,Ethiopia,Oromia,4.0,2012,2.0,33843000.0
257,Ethiopia,Oromia,10.0,2013,1.5,34737000.0
258,Ethiopia,Oromia,1.0,2014,1.5,35645000.0
259,Ethiopia,Oromia,4.0,2014,2.0,35645000.0
260,Ethiopia,Oromia,7.0,2013,2.0,34737000.0
261,Ethiopia,Somali,2.0,2018,2.0,6299000.0
262,Ethiopia,Somali,2.0,2016,2.2857142857142856,6299000.0
263,Ethiopia,Somali,6.0,2019,2.5,6299000.0
264,Ethiopia,Somali,2.0,2019,2.0,6299000.0
265,Ethiopia,Somali,10.0,2015,3.0,6143000.0
266,Ethiopia,Somali,10.0,2010,3.0,5395000.0
267,Ethiopia,Somali,10.0,2011,3.5,5539000.0
268,Ethiopia,Somali,7.0,2011,3.5,5539000.0
269,Ethiopia,Somali,10.0,2009,2.5,5254000.0
270,Ethiopia,Somali,7.0,2009,2.5,5254000.0
271,Ethiopia,Somali,1.0,2010,2.5,5395000.0
272,Ethiopia,Somali,1.0,2011,3.0,5539000.0
273,Ethiopia,Somali,4.0,2011,3.0,5539000.0
274,Ethiopia,Somali,1.0,2012,3.0,5686000.0
275,Ethiopia,Somali,4.0,2012,2.5,5686000.0
276,Ethiopia,Somali,1.0,2013,2.3333333333333335,5837000.0
277,Ethiopia,Somali,4.0,2013,2.5,5837000.0
278,Ethiopia,Somali,10.0,2018,2.25,6299000.0
279,Ethiopia,Somali,6.0,2016,2.0,6299000.0
280,Ethiopia,Somali,7.0,2010,3.0,5395000.0
281,Ethiopia,Somali,10.0,2012,2.2,5686000.0
282,Ethiopia,Somali,6.0,2017,2.5714285714285716,6299000.0
