,ADMIN0,ADMIN1,month,year,CS,tmin_mm,tmax_mm,tavg_mm,prcp_mm,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal,Retail,pop
0,Ethiopia,Addis Ababa,10.0,2018.0,1.0,107.3,237.8125,171.6451612903226,12.75,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,3804000.0
1,Ethiopia,Addis Ababa,10.0,2010.0,2.0,100.46666666666667,240.76923076923077,179.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3258000.0
2,Ethiopia,Addis Ababa,7.0,2009.0,1.0,120.29411764705883,216.64285714285714,155.7,88.42105263157895,,,,,,,,,,,,3173000.0
3,Ethiopia,Addis Ababa,10.0,2009.0,1.0,93.57142857142857,225.33333333333334,162.82608695652175,97.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3173000.0
4,Ethiopia,Addis Ababa,1.0,2010.0,1.0,92.0,226.25,155.8,,,,,,,,,,,,,3258000.0
5,Ethiopia,Addis Ababa,7.0,2010.0,2.0,120.3125,211.06666666666666,156.32258064516128,72.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3258000.0
6,Ethiopia,Addis Ababa,1.0,2011.0,1.0,91.4090909090909,233.5,166.96774193548387,,,,,,,,,,,,,3345000.0
7,Ethiopia,Addis Ababa,4.0,2011.0,1.0,125.78947368421052,265.8333333333333,198.56521739130434,17.125,,,,,,,,,,,,3345000.0
8,Ethiopia,Addis Ababa,4.0,2010.0,1.0,132.5,236.0,178.83333333333334,67.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,3258000.0
9,Ethiopia,Addis Ababa,2.0,2018.0,1.0,113.21428571428571,247.28571428571428,176.11111111111111,28.875,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,3804000.0
10,Ethiopia,Addis Ababa,2.0,2019.0,1.0,119.2,264.75,189.64285714285714,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3804000.0
11,Ethiopia,Addis Ababa,6.0,2018.0,1.0,122.125,227.33333333333334,163.0,53.75,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,3804000.0
12,Ethiopia,Addis Ababa,10.0,2016.0,1.0,104.75,239.6206896551724,168.7741935483871,36.81818181818182,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3804000.0
13,Ethiopia,Addis Ababa,6.0,2016.0,1.0,122.41666666666667,237.0,170.79310344827587,39.05,0.0,8.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,3804000.0
14,Ethiopia,Addis Ababa,4.0,2014.0,1.0,128.84615384615384,264.3,191.3,52.857142857142854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3617000.0
15,Ethiopia,Addis Ababa,10.0,2015.0,1.0,117.5,249.5,188.17241379310346,0.0,,,,,,,,,,,,3710000.0
16,Ethiopia,Addis Ababa,7.0,2015.0,1.0,125.9047619047619,227.10526315789474,170.48387096774192,48.2962962962963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3710000.0
17,Ethiopia,Addis Ababa,2.0,2016.0,1.0,111.6,254.33333333333334,185.41379310344828,83.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3804000.0
18,Ethiopia,Addis Ababa,10.0,2017.0,1.0,105.25,238.36363636363637,171.29032258064515,5.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,,3804000.0
19,Ethiopia,Addis Ababa,7.0,2014.0,1.0,124.57692307692308,219.62962962962962,164.29032258064515,44.93333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3617000.0
20,Ethiopia,Addis Ababa,7.0,2011.0,1.0,120.0,256.0,161.5483870967742,16.833333333333332,,,,,,,,,,,,3345000.0
21,Ethiopia,Addis Ababa,6.0,2019.0,1.0,,,170.19230769230768,,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,3804000.0
22,Ethiopia,Addis Ababa,10.0,2019.0,1.0,109.4,231.1,168.48387096774192,14.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3804000.0
23,Ethiopia,Addis Ababa,6.0,2017.0,1.0,124.26086956521739,250.13636363636363,180.20689655172413,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3804000.0
24,Ethiopia,Addis Ababa,1.0,2013.0,1.0,93.24,240.6875,169.19354838709677,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3525000.0
25,Ethiopia,Addis Ababa,4.0,2013.0,1.0,133.05,258.85,190.13333333333333,60.125,,,,,,,,,,,,3525000.0
26,Ethiopia,Addis Ababa,7.0,2013.0,1.0,119.05882352941177,213.1764705882353,156.80645161290323,49.73913043478261,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3525000.0
27,Ethiopia,Addis Ababa,10.0,2012.0,1.0,91.94736842105263,238.66666666666666,172.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3434000.0
28,Ethiopia,Addis Ababa,4.0,2012.0,1.0,107.5,247.5,178.7,9.4,,,,,,,,,,,,3434000.0
29,Ethiopia,Addis Ababa,7.0,2012.0,1.0,118.35714285714286,214.68421052631578,154.6451612903226,165.32142857142858,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,3434000.0
30,Ethiopia,Addis Ababa,1.0,2012.0,1.0,83.5,239.0,165.78571428571428,,,,,,,,,,,,,3434000.0
31,Ethiopia,Addis Ababa,10.0,2011.0,1.0,87.18181818181819,235.5,172.82758620689654,,,,,,,,,,,,,3345000.0
32,Ethiopia,Addis Ababa,1.0,2014.0,1.0,94.88461538461539,245.1578947368421,172.25806451612902,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3617000.0
33,Ethiopia,Addis Ababa,1.0,2015.0,1.0,85.75,237.35294117647058,163.08333333333334,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3710000.0
34,Ethiopia,Addis Ababa,10.0,2014.0,1.0,104.71428571428571,231.1304347826087,170.09677419354838,46.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3617000.0
35,Ethiopia,Addis Ababa,4.0,2015.0,1.0,121.14285714285714,276.0,199.33333333333334,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3710000.0
36,Ethiopia,Addis Ababa,10.0,2013.0,1.0,102.57692307692308,230.5,170.25806451612902,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3525000.0
37,Ethiopia,Afar,2.0,2016.0,2.8,,,,,,,,,,,,,,,,1930000.0
38,Ethiopia,Afar,6.0,2019.0,2.0,,,,,,,,,,,,,,,,1930000.0
39,Ethiopia,Afar,2.0,2019.0,1.8,,,,,,,,,,,,,,,,1930000.0
40,Ethiopia,Afar,10.0,2015.0,3.0,,,,,,,,,,,,,,,0.13950604660929308,1883000.0
41,Ethiopia,Afar,10.0,2010.0,2.5,,,,,,,,,,,,,,,,1653000.0
42,Ethiopia,Afar,1.0,2010.0,2.0,,,,,,,,,,,,,,,,1653000.0
43,Ethiopia,Afar,10.0,2009.0,2.0,,,,,,,,,,,,,,,,1610000.0
44,Ethiopia,Afar,1.0,2013.0,2.0,,,,,,,,,,,,,,,,1789000.0
45,Ethiopia,Afar,4.0,2013.0,2.2,,,,,,,,,,,,,,,,1789000.0
46,Ethiopia,Afar,10.0,2018.0,2.0,,,,,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1930000.0
47,Ethiopia,Afar,1.0,2011.0,2.5,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,,1697000.0
48,Ethiopia,Afar,10.0,2012.0,2.2,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1743000.0
49,Ethiopia,Afar,6.0,2017.0,1.6666666666666667,,,,,,,,,,,,,,,,1930000.0
50,Ethiopia,Afar,4.0,2011.0,2.5,,,,,,,,,,,,,,,,1697000.0
51,Ethiopia,Afar,1.0,2014.0,2.0,,,,,,,,,,,,,,,0.6474061508599968,1835000.0
52,Ethiopia,Afar,4.0,2010.0,3.0,,,,,,,,,,,,,,,,1653000.0
53,Ethiopia,Afar,7.0,2014.0,2.2,,,,,,,,,,,,,,,,1835000.0
54,Ethiopia,Afar,10.0,2014.0,1.8,,,,,,,,,,,,,,,,1835000.0
55,Ethiopia,Afar,2.0,2018.0,1.5,,,,,,,,,,,,,,,,1930000.0
56,Ethiopia,Afar,1.0,2015.0,1.8,,,,,,,,,,,,,,,,1883000.0
57,Ethiopia,Afar,4.0,2015.0,2.0,,,,,,,,,,,,,,,0.2868577259033043,1883000.0
58,Ethiopia,Afar,6.0,2016.0,2.5,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050770967585572084,1930000.0
59,Ethiopia,Afar,6.0,2018.0,2.0,,,,,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1930000.0
60,Ethiopia,Afar,10.0,2013.0,2.0,,,,,,,,,,,,,,,,1789000.0
61,Ethiopia,Afar,7.0,2015.0,2.5,,,,,,,,,,,,,,,0.11550306432525012,1883000.0
62,Ethiopia,Afar,10.0,2016.0,2.0,,,,,,,,,,,,,,,,1930000.0
63,Ethiopia,Afar,10.0,2019.0,2.0,,,,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,,1930000.0
64,Ethiopia,Afar,7.0,2009.0,2.0,,,,,,,,,,,,,,,,1610000.0
65,Ethiopia,Afar,7.0,2010.0,2.5,,,,,,,,,,,,,,,,1653000.0
66,Ethiopia,Afar,7.0,2012.0,2.6666666666666665,,,,,,,,,,,,,,,,1743000.0
67,Ethiopia,Afar,10.0,2017.0,1.6666666666666667,,,,,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,4.0,,1930000.0
68,Ethiopia,Afar,10.0,2011.0,2.0,,,,,,,,,,,,,,,0.5747847448598283,1697000.0
69,Ethiopia,Afar,4.0,2014.0,2.0,,,,,,,,,,,,,,,0.5826644592074125,1835000.0
70,Ethiopia,Afar,7.0,2011.0,2.5,,,,,,,,,,,,,,,0.2585033622497783,1697000.0
71,Ethiopia,Afar,7.0,2013.0,2.0,,,,,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,1789000.0
72,Ethiopia,Afar,1.0,2012.0,2.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.071446918529851,1743000.0
73,Ethiopia,Afar,4.0,2012.0,2.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1743000.0
74,Ethiopia,Amhara,2.0,2018.0,2.0,,,,,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,23913000.0
75,Ethiopia,Amhara,2.0,2016.0,2.5,135.54545454545456,266.1666666666667,233.71428571428572,40.333333333333336,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2382175256207708,23913000.0
76,Ethiopia,Amhara,6.0,2019.0,2.0,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,23913000.0
77,Ethiopia,Amhara,2.0,2019.0,1.75,128.66369047619048,277.1818181818182,242.10416666666669,71.43333333333332,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,,23913000.0
78,Ethiopia,Amhara,10.0,2015.0,2.5,117.05555555555556,275.4375,216.5,13.666666666666666,,,,,,,,,,,-0.12861302318112874,23322000.0
79,Ethiopia,Amhara,10.0,2010.0,2.0,122.25438596491227,268.05555555555554,205.69565217391306,9.0,,,,,,,,,,,-0.13111998357094048,20480000.0
80,Ethiopia,Amhara,1.0,2010.0,2.0,99.74107142857143,245.25,193.47083333333333,,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.007472677658433013,20480000.0
81,Ethiopia,Amhara,10.0,2009.0,2.0,118.5099715099715,264.3157894736842,209.2551282051282,70.38333333333333,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,19946000.0
82,Ethiopia,Amhara,1.0,2013.0,2.0,119.2,272.2,221.66666666666669,,1.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,44.0,0.0,0.6141754226333282,22158000.0
83,Ethiopia,Amhara,4.0,2013.0,2.2,153.25,292.44444444444446,247.0,47.5,,,,,,,,,,,1.0014263817799784,22158000.0
84,Ethiopia,Amhara,10.0,2018.0,1.5,121.375,258.3125,218.19444444444446,82.75,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23913000.0
85,Ethiopia,Amhara,1.0,2011.0,2.0,110.92592592592592,247.9,182.4814814814815,147.875,,,,,,,,,,,-0.1994035330083428,21027000.0
86,Ethiopia,Amhara,10.0,2012.0,2.25,105.81538461538462,269.75,218.23333333333335,32.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.9978828097983876,21587000.0
87,Ethiopia,Amhara,6.0,2017.0,2.0,159.9,315.6,257.6818181818182,12.75,11.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,,23913000.0
88,Ethiopia,Amhara,4.0,2011.0,2.0,146.9227272727273,295.3,239.9230769230769,19.583333333333332,,,,,,,,,,,0.36306886898841895,21027000.0
89,Ethiopia,Amhara,1.0,2014.0,2.0,112.48717948717949,254.64,203.1235632183908,23.75,,,,,,,,,,,0.7607368430074017,22737000.0
90,Ethiopia,Amhara,4.0,2010.0,2.5,155.1875,283.72727272727275,237.17058823529413,31.533333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1177111372558974,20480000.0
91,Ethiopia,Amhara,7.0,2014.0,2.0,149.75951086956522,296.11538461538464,214.39185185185187,78.10416666666666,,,,,,,,,,,0.8441266438473807,22737000.0
92,Ethiopia,Amhara,10.0,2014.0,1.75,125.3474358974359,256.44444444444446,203.45409429280397,54.17307692307692,,,,,,,,,,,0.6834909087296258,22737000.0
