"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP10","DP10_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SUM00062680","ATBARA, SU","17.7","33.967","345.0","2009-04",,,"0","5,S","25","5,S",,,"46.5","5,S,26,+",,,,,"43.2","5,,,S",,
"SUM00062680","ATBARA, SU","17.7","33.967","345.0","2009-06",,,"0","3,S","27","3,S",,,"47.5","3,S,23,",,,,,"45.5","3,,,S",,
"SUM00062680","ATBARA, SU","17.7","33.967","345.0","2013-11",,,"0","4,S","23","4,S",,,"39.2","4,S,08,+",,,"28.4","5,S","35.9","4,,,S","20.9","3,,,S"
"SU000062790","NYALA, SU","12.05","24.883","643.0","2013-11",,,"0","3,S","26","3,S",,,"37.0","3,S,09,+",,,,,"35.0","3,,,S",,
"SU000062790","NYALA, SU","12.05","24.883","643.0","2013-12",,,"0","5,S","11","5,S",,,"39.0","5,S,01,",,,,,"32.0","5,,,S",,
"KE000063619","MOYALE, KE","3.533","39.033","1097.0","2009-10",,,"0","4,S","1","4,S",,,"32.6","4,S,19,",,,"23.0","5,S","27.2","4,,,S","18.9","4,,,S"
"TZ000063832","TABORA AIRPORT, TZ","-5.083","32.833","1182.0","2009-06",,,,,,,,,,,,,,,,,"16.0","5,,,S"
"TZ000063832","TABORA AIRPORT, TZ","-5.083","32.833","1182.0","2009-09",,,"0","5,S","16","5,S",,,"34.7","5,S,14,",,,,,"32.7","5,,,S",,
"TZ000063832","TABORA AIRPORT, TZ","-5.083","32.833","1182.0","2009-10",,,"0","4,S","26","4,S",,,"34.5","4,S,01,",,,,,"33.4","4,,,S",,
"TZ000063832","TABORA AIRPORT, TZ","-5.083","32.833","1182.0","2009-12",,,,,,,,,,,,,,,,,"18.8","4,,,S"
"TZ000063832","TABORA AIRPORT, TZ","-5.083","32.833","1182.0","2010-01",,,"0","5,S","0","5,S",,,"32.0","5,S,20,",,,,,"28.9","5,,,S",,
